"#","RefDes","Quantity","Name"
"1","BT1","1","KeyStone1087"
"2","BT2","1","KeyStone1087"
"3","C1","1","C0603C105K3PACTU"
"4","C2","1","C0603C105K3PACTU"
"5","J1","1","ISP-6-NO-OUTLINE-ALL_ROUND"
"6","L1","1","Movement"
"7","LOGO","1","Logo-Mask"
"8","S1","1","TL9320AF400QG"
"9","U1","1","ATTINY25-20SSUR"
"10","U2","1","RX8900-10SMD"
